Date,Open,High,Low,Close,Volume,Adj Close
08-07-2014,96.27,96.8,93.92,95.35,65130000,95.35
07-07-2014,94.14,95.99,94.1,95.97,56305400,95.97
03-07-2014,93.67,94.1,93.2,94.03,22891800,94.03
02-07-2014,93.87,94.06,93.09,93.48,28420900,93.48
01-07-2014,93.52,94.07,93.13,93.52,38170200,93.52
30-06-2014,92.1,93.73,92.09,92.93,49482300,92.93
27-06-2014,90.82,92,90.77,91.98,64006800,91.98
26-06-2014,90.37,91.05,89.8,90.9,32595800,90.9
25-06-2014,90.21,90.7,89.65,90.36,36852200,90.36
24-06-2014,90.75,91.74,90.19,90.28,38988300,90.28
23-06-2014,91.32,91.62,90.6,90.83,43618200,90.83
20-06-2014,91.85,92.55,90.9,90.91,100813200,90.91
19-06-2014,92.29,92.3,91.34,91.86,35486400,91.86
18-06-2014,92.27,92.29,91.35,92.18,33493800,92.18
17-06-2014,92.31,92.7,91.8,92.08,29689800,92.08
16-06-2014,91.51,92.75,91.45,92.2,35561000,92.2
13-06-2014,92.2,92.44,90.88,91.28,54525000,91.28
12-06-2014,94.04,94.12,91.9,92.29,54749000,92.29
11-06-2014,94.13,94.76,93.47,93.86,45681000,93.86
10-06-2014,94.73,95.05,93.57,94.25,62777000,94.25
09-06-2014,92.7,93.88,91.75,93.7,75415000,93.7
06-06-2014,649.9,651.26,644.47,645.57,87484600,92.22
05-06-2014,646.2,649.37,642.61,647.35,75951400,92.48
04-06-2014,637.44,647.89,636.11,644.82,83870500,92.12
03-06-2014,628.46,638.74,628.25,637.54,73177300,91.08
02-06-2014,633.96,634.83,622.5,628.65,92337700,89.81
30-05-2014,637.98,644.17,628.9,633,141005200,90.43
29-05-2014,627.85,636.87,627.77,635.38,94118500,90.77
28-05-2014,626.02,629.83,623.78,624.01,78870400,89.14
27-05-2014,615.88,625.86,615.63,625.63,87216500,89.38
23-05-2014,607.25,614.73,606.47,614.13,58052400,87.73
22-05-2014,606.6,609.85,604.1,607.27,50190000,86.75
21-05-2014,603.83,606.7,602.06,606.31,49214900,86.62
20-05-2014,604.51,606.4,600.73,604.71,58709000,86.39
19-05-2014,597.85,607.33,597.33,604.59,79438800,86.37
16-05-2014,588.63,597.53,585.4,597.51,69064100,85.36
15-05-2014,594.7,596.6,588.04,588.82,57711500,84.12
14-05-2014,592.43,597.4,591.74,593.87,41601000,84.84
13-05-2014,592,594.54,590.7,593.76,39934300,84.82
12-05-2014,587.49,593.66,587.4,592.83,53302200,84.69
09-05-2014,584.54,586.25,580.33,585.54,72899400,83.65
08-05-2014,588.25,594.41,586.4,587.99,57574300,84
07-05-2014,595.25,597.29,587.73,592.33,70716100,84.15
06-05-2014,601.8,604.41,594.41,594.41,93641100,84.44
05-05-2014,590.14,601,590,600.96,71766800,85.37
02-05-2014,592.34,594.2,589.71,592.58,47878600,84.18
01-05-2014,592,594.8,586.36,591.48,61012000,84.03
30-04-2014,592.64,599.43,589.8,590.09,114160200,83.83
29-04-2014,593.74,595.98,589.51,592.33,84344400,84.15
28-04-2014,572.8,595.75,572.55,594.09,167371400,84.4
25-04-2014,564.53,571.99,563.96,571.94,97568800,81.25
24-04-2014,568.21,570,560.73,567.77,189977900,80.66
23-04-2014,529.06,531.13,524.45,524.75,98735000,74.55
22-04-2014,528.31,531.83,526.5,531.7,50640800,75.54
21-04-2014,525.34,532.14,523.96,531.17,45637200,75.46
17-04-2014,520,527.76,519.2,524.94,71083600,74.57
16-04-2014,518.05,521.09,514.14,519.01,53691400,73.73
15-04-2014,520.27,521.64,511.33,517.96,66622500,73.58
14-04-2014,521.9,522.16,517.21,521.68,51418500,74.11
11-04-2014,519,522.83,517.14,519.61,67929400,73.82
10-04-2014,530.68,532.24,523.17,523.48,59913000,74.37
09-04-2014,522.64,530.49,522.02,530.32,51542400,75.34
08-04-2014,525.19,526.12,518.7,523.44,60972100,74.36
07-04-2014,528.02,530.9,521.89,523.47,72462600,74.37
04-04-2014,539.81,540,530.58,531.82,68812800,75.55
03-04-2014,541.39,542.5,537.64,538.79,40586000,76.54
02-04-2014,542.38,543.48,540.26,542.55,45105200,77.08
01-04-2014,537.76,541.87,536.77,541.65,50190000,76.95
31-03-2014,539.23,540.81,535.93,536.74,42167300,76.25
28-03-2014,538.32,538.94,534.25,536.86,50141000,76.27
27-03-2014,540.02,541.5,535.12,537.46,55507900,76.35
26-03-2014,546.52,549,538.86,539.78,74942000,76.68
25-03-2014,541.5,545.75,539.59,544.99,70573300,77.42
24-03-2014,538.42,540.5,535.06,539.19,88925200,76.6
21-03-2014,531.93,533.75,526.33,532.87,93511600,75.7
20-03-2014,529.89,532.67,527.35,528.7,52099600,75.11
19-03-2014,532.26,536.24,529,531.26,56189000,75.47
18-03-2014,525.9,531.97,525.2,531.4,52411800,75.49
17-03-2014,527.7,529.97,525.85,526.74,49886200,74.83
14-03-2014,528.79,530.89,523,524.69,59299800,74.54
13-03-2014,537.44,539.66,529.16,530.65,64435700,75.39
12-03-2014,534.51,537.35,532,536.61,49831600,76.23
11-03-2014,535.45,538.74,532.59,536.09,69806100,76.16
10-03-2014,528.36,533.33,528.34,530.92,44646000,75.42
07-03-2014,531.09,531.98,526.05,530.44,55182400,75.36
06-03-2014,532.79,534.44,528.1,530.75,46372200,75.4
05-03-2014,530.92,534.75,529.13,532.36,50015700,75.63
04-03-2014,531,532.64,527.77,531.24,64785000,75.47
03-03-2014,523.42,530.65,522.81,527.76,59695300,74.98
28-02-2014,529.08,532.75,522.12,526.24,92992200,74.76
27-02-2014,517.14,528.78,516.05,527.67,75470500,74.96
26-02-2014,523.61,525,515.6,517.35,69054300,73.5
25-02-2014,529.38,529.57,521,522.06,57988000,74.17
24-02-2014,523.15,529.92,522.42,527.55,72227400,74.95
21-02-2014,532.79,534.57,524.6,525.25,69696200,74.62
20-02-2014,532.99,537,529,531.15,76464500,75.46
19-02-2014,544.75,546.89,534.35,537.37,78442000,76.34
18-02-2014,546,551.19,545.61,545.99,65062900,77.57
14-02-2014,542.47,545.98,541.21,543.99,68231100,77.28
13-02-2014,534.66,544.85,534.2,544.43,76849500,77.34
12-02-2014,536.95,539.56,533.24,535.92,77025200,76.13
11-02-2014,530.61,537.75,529.5,535.96,70564200,76.14
10-02-2014,518.66,531.99,518,528.99,86389800,75.15
07-02-2014,521.38,522.93,517.38,519.68,92570100,73.83
06-02-2014,510.06,513.5,507.81,512.51,64441300,72.81
05-02-2014,506.56,515.28,506.25,512.59,82086200,72.39
04-02-2014,505.85,509.46,502.76,508.79,94170300,71.85
03-02-2014,502.61,507.73,499.3,501.53,100366000,70.83
31-01-2014,495.18,501.53,493.55,500.6,116199300,70.69
30-01-2014,502.54,506.5,496.7,499.78,169625400,70.58
29-01-2014,503.95,507.37,498.62,500.75,125702500,70.72
28-01-2014,508.76,515,502.07,506.5,266380800,71.53
27-01-2014,550.07,554.8,545.75,550.5,138719700,77.74
24-01-2014,554,555.62,544.75,546.07,107338700,77.12
23-01-2014,549.94,556.5,544.81,556.18,100809800,78.54
22-01-2014,550.91,557.29,547.81,551.51,94996300,77.88
21-01-2014,540.99,550.07,540.42,549.07,82131700,77.54
17-01-2014,551.48,552.07,539.9,540.67,106684900,76.35
16-01-2014,554.9,556.85,551.68,554.25,57319500,78.27
